,titles,companies,locations,reviews,descriptions,salaries
0,CAD Customization,Actalent,Chennai,3.6,"Description:
1. Hands-on expertise in developing: a. Automation projects in CATIA b. Customization in CATIA c. Macros/Scripts and Add-ins in MS Excel 2. Expertise in following technologies (min. any 3 from below): a. VBA b. VB.Net c. CATScript d. Python e. Java/JavaScript f. Other similar technologies 3. Excellent knowledge of using CATIA & Vismockup API's (for automation) & using VBA & Python 4. Added advantage to have: a. Alteryx b. Machine Learning Skills/Tools c. Modeling & Drafting knowledge using CATIA d. Teamcenter / Vismockup 5. Responsible to: a. Gather requirements from end-users b. Conduct feasibility studies & propose solutions c. Create Proof-of-Concept (PoC) with selected architectural approach d. Design, develop and test concepts e. Create documentation 6. Good presentation and communication skills 7. Job role based on relevant experience
Skills:
fixture, design, CATIA, BIW fixture
Top Skills Details:
fixture,design,CATIA,BIW fixture
Additional Skills & Qualifications:
CATIA Customization Automation
Experience Level:
Entry Level
Diversity, Equity & Inclusion
At Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I is embedded into our culture through:
Hiring diverse talent
Maintaining an inclusive environment through persistent self-reflection
Building a culture of care, engagement, and recognition with clear outcomes
Ensuring growth opportunities for our people
Actalent is an equal opportunity employer.
About Actalent
Actalent is a global leader in engineering and sciences services. For more than 40 years, we’ve helped visionary companies advance their goals. Headquartered in the United States, our teams span 150 offices across North America, EMEA, and APAC—with four delivery centers in India led by 1,000+ extraordinary employees who connect their passion with purpose every day.
Our Bangalore, Hyderabad, Pune, and Chennai delivery centers are hubs of engineering expertise, with core capabilities in mechanical and electrical engineering, systems and software, and manufacturing engineering. Our teams deliver work across multiple industries including transportation, consumer and industrial products, and life sciences. We serve more than 4,500 clients, including many Fortune 500 brands. Learn more about how we can work together at actalentservices.com.",₹4L - ₹7L (Glassdoor Est.)
1,Advisor-Data Science,Dell Technologies,Bengaluru,4.3,"As a Data Scientist, you will have a crucial role in shaping our data-driven decision-making process. This role involves applying advanced knowledge of Generative AI models, Large Language Models (LLMs), Deep Learning, and Reinforcement Learning principles. The candidate will be required to develop impactful data models and predictive algorithms, create compelling recommendations based on data insights, lead partnerships with the academic and business community, and influence strategic decisions. We are looking for a seasoned data scientist who can transform complex data into actionable insights, lead challenging AI projects, and inspire team members with their deep expertise and innovative approach.
Join us to do the best work of your career and make a profound social impact as an Advisor-Data Scienceon our Data Science Team in Bangalore, India
Take the first step towards your dream career
Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:
What You will do:
Design and implement machine learning models, including generative models and large language models (LLMs), and deep learning architectures.
Design, develop, and program methods, processes, and systems to consolidate and analyze unstructured data, generating actionable insights and solutions.
Utilize reinforcement learning principles to create models that can adapt and learn from their environment.
Analyze complex datasets, identify patterns, and use statistical analysis to validate data and ensure the accuracy of the models.
Use predictive modeling to increase and optimize customer experiences, revenue generation, and other business outcomes.
Collaborate with cross-functional teams to understand their needs and devise possible solutions using data modeling and analysis
Preferred Skills
Bachelor’s, Master's or PhD degree in Computer Science, Data Science, Statistics, or a related field.
5+ year of Proven experience as a Senior Data Scientist or similar role in a data-driven environment.
Deep understanding of Generative AI models, Large Language Models (LLMs), Deep Learning, and Reinforcement Learning principles.
Experience with machine learning frameworks (like Keras, TensorFlow, or PyTorch) and libraries (like scikit-learn).
Proficient in programming languages such as Python, R, or Scala. Familiarity with MLOPs techniques and framework

Desirable Requirements
Certifications in AI, ML, Kubernetes, or cloud environments are a plus.
Experience with CI/CD pipelines, Jenkins, Git, or similar tools.
Who we are
We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you.

Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.

Application closing date: 30 Jan 2024

Dell Technologies is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment.
Job ID:R234941

Dell’s Flexible & Hybrid Work Culture

At Dell Technologies, we believe our best work is done when flexibility is offered.

We know that freedom and flexibility are crucial to all our employees no matter where you are located and our flexible and hybrid work style allows team members to have the freedom to ideate, be innovative, and drive results their way. To learn more about our work culture, please visit our locations page.",₹3L - ₹7L (Glassdoor Est.)
2,Forecasting Data Scientist,Mondelēz International,Remote,4.0,"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It With Pride.
You will be crucial in supporting our business by creating valuable, actionable insights about the data, and communicating your findings to the business. You will work with various stakeholders to determine how to use business data for business solutions/insights.
How you will contribute
You will:
Analyze and derive value from data through the application methods such as mathematics, statistics, computer science, machine learning and data visualization. In this role you will also formulate hypotheses and test them using math, statistics, visualization and predictive modeling
Understand business challenges, create valuable actionable insights about the data, and communicate your findings to the business. After that you will work with stakeholders to determine how to use business data for business solutions/insights
Enable data-driven decision making by creating custom models or prototypes from trends or patterns discerned and by underscoring implications. Coordinate with other technical/functional teams to implement models and monitor results
Apply mathematical, statistical, predictive modelling or machine-learning techniques and with sensitivity to the limitations of the techniques. Select, acquire and integrate data for analysis. Develop data hypotheses and methods, train and evaluate analytics models, share insights and findings and continues to iterate with additional data
Develop processes, techniques, and tools to analyze and monitor model performance while ensuring data accuracy
Evaluate the need for analytics, assess the problems to be solved and what internal or external data sources to use or acquire. Specify and apply appropriate mathematical, statistical, predictive modelling or machine-learning techniques to analyze data, generate insights, create value and support decision making
Contribute to exploration and experimentation in data visualization and you will manage reviews of the benefits and value of analytics techniques and tools and recommend improvements
What you will bring
A desire to drive your future and accelerate your career and the following experience and knowledge:
Strong quantitative skillset with experience in statistics and linear algebra.
A natural inclination toward solving complex problems
Knowledge/experience with statistical programming languages including R, Python, SQL, etc., to process data and gain insights from it
Knowledge of machine learning techniques including decision-tree learning, clustering, artificial neural networks, etc., and their pros and cons
Knowledge and experience in advanced statistical techniques and concepts including, regression, distribution properties, statistical testing, etc.
Good communication skills to promote cross-team collaboration
Multilingual coding knowledge/experience: Java, JavaScript, C, C++, etc.
Experience/knowledge in statistics and data mining techniques including random forest, GLM/regression, social network analysis, text mining, etc. Ability to use data visualization tools to showcase data for stakeholders
More about this role
What you need to know about this position:
What extra ingredients you will bring:
Education / Certifications:
Graduate
Job specific requirements:
Travel requirements:
Work schedule:
Within Country Relocation support available and for candidates voluntarily moving internationally some minimal support is offered through our Volunteer International Transfer Policy
Business Unit Summary
At Mondelēz International, our purpose is to empower people to snack right by offering the right snack, for the right moment, made the right way. That means delivering a broad range of delicious, high-quality snacks that nourish life's moments, made with sustainable ingredients and packaging that consumers can feel good about.
We have a rich portfolio of strong brands globally and locally including many household names such as Oreo , belVita and LU biscuits; Cadbury Dairy Milk , Milka and Toblerone chocolate; Sour Patch Kids candy and Trident gum. We are proud to hold the top position globally in biscuits, chocolate and candy and the second top position in gum.
Our 80,000 makers and bakers are located in more than 80 countries and we sell our products in over 150 countries around the world. Our people are energized for growth and critical to us living our purpose and values. We are a diverse community that can make things happen—and happen fast.
Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.
Job Type
Regular
Data Science
Analytics & Data Science",None
3,AI/ML Engineering Intern,Lizmotors Mobility Pvt Ltd.,Remote,None,"At Lizmotors, we're at the forefront of the tech industry, creating innovative AI and machine learning solutions that are changing the game. Our team is made up of dedicated experts who live and breathe technology, always pushing the boundaries of what's possible. And now, we're looking for a bright and ambitious intern to join our ranks and help us shape the future of AI and machine learning. If you're excited about the prospect of working on revolutionary projects and contributing to the advancement of technology, we want to hear from you!
Responsibilities:
As an intern working on AI and machine learning projects, you will have the opportunity to work on various aspects of model development, deployment, and optimization. Your primary responsibilities will include:
Running and fine-tuning machine learning models using popular frameworks such as TensorFlow, PyTorch, or Scikit-Learn
Gathering and cleaning data sets for training and validation purposes
Writing Python code to support cross-functional teams in implementing machine learning algorithms and models
Collaborating with data scientists, engineers, and other stakeholders to ensure seamless integration of AI solutions into our products and services
Assisting in the development of new AI and machine learning features and functionalities
Requirements:
To excel in this role, you should possess the following skills and qualifications:
BS/MS/PhD in Computer Science, Engineering, Mathematics, Statistics, or a related field
Strong understanding of machine learning concepts and algorithms, including supervised and unsupervised learning, deep learning, and neural networks
Proficiency in programming languages such as Python, R, or MATLAB
Familiarity with popular machine learning libraries and frameworks such as TensorFlow, PyTorch, or Scikit-Learn
Experience with data preprocessing, data visualization, and statistical modeling techniques.
How to Apply:
Interested candidates should submit their resume, cover letter, and any relevant project details to career@lizmotors.com.
Job Type: Internship
Pay: ₹15,000.00 - ₹25,000.00 per month
Benefits:
Work from home
Schedule:
Day shift
Monday to Friday
Work Location: Remote",₹15T - ₹25T (Employer Est.)
4,"Senior Analyst, Data Science",Dell Technologies,Bengaluru,4.3,None,₹4L - ₹8L (Glassdoor Est.)
5,Senior Advisor - Machine Learning Engineer,Dell Technologies,Bengaluru,4.3,"Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
Join us to do the best work of your career and make a profound social impact as a Sr Advisor on our Machine Learning Engineer Team in Bangalore.

What you’ll achieve
The AI ML Ops Engineer will play a critical role in harnessing the power of our AI initiatives. This role involves a combination of responsibilities from the realms of data science ( ML and DL ), software engineering, and operations. The individual will work on developing, deploying, maintaining, and innovating AI/ML systems in production. The role demands expertise in Generative AI models, Large Language Models (LLMs), and container orchestration technologies like Docker and Kubernetes. An in-depth understanding of MLOps principles and practices is essential, along with a capacity to thrive in a fast-paced, dynamic environment. The AI ML Ops Engineer will also be required to take part in strategic planning, roadmap development, and technical leadership.

You will:
Develop, deploy, and maintain AI/ML models into production environment.
Apply knowledge of machine learning, deep learning, statistics, optimization, software engineering, and data engineering to produce code for testing, operationalizing, and governing software-integrated machine learning models.
Work closely with various stakeholders, including business owners, software engineers, data scientists, and data engineers to align and execute end-to-end solutions. These solutions should begin with data collection and management, extend through machine learning methodologies and efficiencies in software engineering, and culminate in the governance of machine learning model performance.
Implement MLOps (Machine Learning Operations) strategies to automate and enhance the ML lifecycle.
Engage in continuous testing, validation, and versioning of ML models (MLOps).
Showcase a solid understanding of microservices architecture, container management, and open-source technologies such as Linux, Docker, and Kubernetes.

Take the first step towards your dream career
Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:

Essential Requirements
Bachelor's or Master's degree in Computer Science, Information Technology, AI, Machine Learning, or a related field.
7+ year pf Proven experience as an AI/ML Ops Engineer or similar role in an AI/ML environment.
In-depth understanding of Generative AI models and Large Language Models (LLMs).
Solid background in Data Science and Software Engineering.
Experience with containerization technologies like Docker and orchestration systems like Kubernetes.
Proficiency in implementing MLOps processes, methodologies, and tools.

Desirable Requirements
Certifications in AI, ML, Kubernetes, or cloud environments are a plus.
Experience with CI/CD pipelines, Jenkins, Git, or similar tools..

Who we are
We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you.

Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.

Application closing date: 30 Jan 2024

Dell Technologies is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment.
Job ID:R234928

Dell’s Flexible & Hybrid Work Culture

At Dell Technologies, we believe our best work is done when flexibility is offered.

We know that freedom and flexibility are crucial to all our employees no matter where you are located and our flexible and hybrid work style allows team members to have the freedom to ideate, be innovative, and drive results their way. To learn more about our work culture, please visit our locations page.",₹6L - ₹9L (Glassdoor Est.)
6,Data Science Consultant- AI Product Manager,Dell Technologies,Bengaluru,4.3,"Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
Join us to do the best work of your career and make a profound social impact as an AI Product Manager on our Data Science CoE in Bangalore.
What you’ll achieve
As a Senior AI Product Manager, you will lead the strategic development and delivery of AI-centric products, utilizing your deep expertise in Generative AI, Large Language Models (LLMs), Deep Learning, and Reinforcement Learning. Your technical skills will guide MLOps implementation and product design, while your leadership will foster cross-functional collaboration. You'll identify market opportunities, translating these into product requirements, while balancing short-term execution with long-term strategy. Besides navigating technical complexities, your role extends to stakeholder management, ensuring product alignment with company objectives. This includes liaising with sales and marketing teams for go-to-market strategies, leading customer engagement initiatives, and presenting regular updates to senior management. Your dual focus on technical excellence and business strategy will be pivotal in delivering innovative, user-centric AI products that drive our company's success.
You will:
Utilize your understanding of Generative AI, LLMs, Deep Learning, and Reinforcement Learning to develop strategic product roadmaps. Evaluate market trends and competitor offerings to identify opportunities for innovation. Also Utilize popular AI, ML, and DL frameworks such as TensorFlow, PyTorch, and Keras to help guide product development.
Oversee the complete product life cycle, from conception through development, launch, and post-launch optimization. Collaborate with the engineering team to ensure the development of high-quality AI-driven products in line with defined objectives.
Regularly provide leadership with updates on product development progress, market trends, and potential challenges. Make informed recommendations based on data-driven insights.
Coordinate with the engineering team to integrate MLOps practices into product development. Understand and contribute to system design, ensuring that products are scalable, robust, and maintainable.
Supervise and assist the team in executing Proof of Concepts (POCs) that demonstrate the value and potential of your research to the organization and Proactively engage in the patent creation process to safeguard the organization's intellectual property rights.

Take the first step towards your dream career.
Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:

Essential Requirements
Bachelor's or Master's degree in Computer Science, Information Technology, AI, Machine Learning, or a related field with 12+ year of Proven experience as a Data Engineer or similar role.
Solid background in Data Science and Software Engineering with in-depth understanding of database indexing and data modelling.
Experience in python, microservices and usage of APIs ( Flask , Fast API etc. )
Proficiency in implementing ETL processes, methodologies, and tools.
Desirable Requirements
Solid knowledge of cloud environments, such as AWS, GCP, or Azure.
Experience with containerization technologies like Docker and orchestration systems like Kubernetes.
Who we are
We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you.

Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.

Application closing date: 25 Feb 2024

Dell Technologies is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment.
Job ID:R225358

Dell’s Flexible & Hybrid Work Culture

At Dell Technologies, we believe our best work is done when flexibility is offered.

We know that freedom and flexibility are crucial to all our employees no matter where you are located and our flexible and hybrid work style allows team members to have the freedom to ideate, be innovative, and drive results their way. To learn more about our work culture, please visit our locations page.",₹6L - ₹8L (Glassdoor Est.)
7,ES - AWM Software Engineer - Senior Associate -Bangalore,PwC,Bengaluru,3.9,"Line of Service
Advisory
Industry/Sector
Not Applicable
Specialism
Product Innovation
Management Level
Senior Associate
Job Description & Summary
A career in Software and Product Innovation will provide you with the opportunity to deliver innovative solutions that are valuable, usable, and aligned with accomplishing the company's mission. We help build software and design data platforms, manage large volumes of client data, develop compliance procedures for data management, and continually research new technologies to drive innovation and sustainable change. You will manage products through initial launch and follow-on releases, identifying dependencies and clearing blockers.

As part of our Software Engineering team, you'll focus on cloud solution engineering and automation, with a focus on applications and data. You understand application and microservice architectures, integration patterns and data engineering aspects using cloud technologies.
To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be an authentic and inclusive leader, at all grades/levels and in all lines of service. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.
As a Senior Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:
Use feedback and reflection to develop self awareness, personal strengths and address development areas.
Delegate to others to provide stretch opportunities and coach to help deliver results.
Develop new ideas and propose innovative solutions to problems.
Use a broad range of tools and techniques to extract insights from from current trends in business area.
Review your work and that of others for quality, accuracy and relevance.
Share relevant thought leadership.
Use straightforward communication, in a structured way, when influencing others.
Able to read situations and modify behavior to build quality, diverse relationships.
Uphold the firm's code of ethics and business conduct.
We are seeking a candidate who can develop a comprehensive understanding of our clients' business operations and industry environment. This understanding will be used to provide valuable recommendations for improvement of the enterprise platform.
Develop and implement software solutions for asset and wealth management, including portfolio management, risk assessment, and trading platforms.
Collaborate with financial analysts and asset managers to understand their needs and translate them into functional software.
Ensure the software complies with regulatory standards and best practices in financial markets.
Perform data analysis to improve investment strategies and financial models.
Integrate new technologies like AI and machine learning to enhance asset management processes.
Maintain and upgrade existing software systems to ensure reliability and efficiency.
Provide technical support and training to users of the software.
Establish and maintain strong relationships with clients to understand their financial needs and objectives.
Conduct regular meetings to review portfolio performance, discuss investment strategies, and address client concerns
The role involves working and co-ordinating with end users, traders, and portfolio managers to efficiently capture platform build-out requirements.
Collaboration with the engagement team is essential, as the candidate will actively contribute to delivering solutions using their core product expertise.
Familiarity with products/platforms like Broadridge, BNYM Encore, Bloomberg, Eagle STAR/PACE, SS&C, and Aladdin is preferred.
The ideal candidate will also have experience in developing solutions to enhance efficiency and reduce costs associated with investment management reporting, trade transaction data analysis, and modeling.
Key Skills and Requirements :
Exposure to Cloud Environments like AWS,Azure, GCP
Strong programming skills in languages such as Java, Python, C++, or SQL.
Experience in developing financial software or knowledge of financial markets and instruments.
Proficiency in database management and data analysis tools.
Familiarity with machine learning algorithms and their application in finance.
Excellent problem-solving and analytical skills.
Good communication skills to effectively collaborate with team members and stakeholders.
Familiarity with version control and software delivery lifecycle
Familiarity with deployment and process control (Docker, K8s, Jenkins, Airflow)
Familiarity in SQL and Timeseries Databasing (InfluxDB, TimescaleDB)
Familiarity with asynchronous messaging (ZeroMQ, RabbitMQ, Kafka)
Proficiency with the Linux environment, with some sys-admin experience
Bachelor’s degree or higher in Computer Science, Computer Engineering, or Information Systems
Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:
Degrees/Field of Study preferred:
Certifications (if blank, certifications not specified)
Required Skills
Optional Skills
Desired Languages (If blank, desired languages not specified)
Travel Requirements
Available for Work Visa Sponsorship?
Government Clearance Required?
Job Posting End Date
February 14, 2024",₹5L - ₹7L (Glassdoor Est.)
8,"Cloud Engineer, Artificial Intelligence",Google,Hyderābād,4.4,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Bangalore, Karnataka, India; Gurgaon, Haryana, India; Hyderabad, Telangana, India.
Minimum qualifications:
Bachelor's degree in Computer Science, Mathematics, a related technical field, or equivalent practical experience.
3 years of experience building Machine Learning or Data Science solutions.
Experience with data structures, algorithms, software design, and coding in Python, Scala, R, or similar.
Ability to travel up to 30% of the time, as required.

Preferred qualifications:
Experience working with recommendation engines, data pipelines, distributed machine learning, data analytics, data visualization techniques and software, and deep learning frameworks.
Experience in software development, professional services, solution engineering, technical consulting, architecting and rolling out new technology and solution initiatives.
Experience with core Data Science techniques.
Knowledge of cloud computing, including virtualization, hosted services, multi-tenant cloud infrastructures, storage systems, and content delivery networks.
Knowledge of data warehousing concepts, including data warehouse technical architectures, infrastructure components, ETL/ELT, and reporting/analytic tools and environments.
Excellent customer-facing communication skills.
About the job
The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As a Cloud Engineer, you will play a key role in ensuring that strategic customers have the best experience moving to the Google Cloud Machine Learning (ML) suite of products. You will design and implement machine learning solutions for customer use cases, leveraging core Google products. You will work with customers to identify opportunities to transform their business with machine learning.
In this role, you will have access to Google’s technology to monitor application performance, debug and troubleshoot product code, and address customer and partner needs. You will lead the timely execution of adopting the Google Cloud Platform solutions to the customer’s requirements. You will travel to customer sites to deploy solutions and deliver workshops designed to educate and empower customers to realize the full potential of Google Cloud.

Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
Responsibilities
Deliver big data and machine learning solutions and solve complex technical customer issues.
Act as a trusted technical advisor to Google’s strategic customers.
Identify new product features and feature gaps, provide guidance on existing product issues, and collaborate with Product Managers and Engineers to influence the road-map of Google Cloud Platform.
Deliver best practices recommendations, tutorials, blog articles, and technical presentations adapting to different levels of key business and technical stakeholders.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",None
9,Data Science,OneBanc Technologies,Gurgaon,4.3,"What is OneBanc?
OneBanc, is a neobank, building the economic infrastructure for the Indian workforce. The idea was conceived when a young girl asked Vibhore, a serial entrepreneur, why the money in her piggy bank never grew. Adopting this philosophy of #DemandMore, OneBanc connects enterprises, banks, and HR Tech platforms to enhance value for all stakeholders.
House of Product
I am the hub of innovation, where technology branches out and blossoms into incredible products. Within my walls, you will find expertise like Full Stack, Mobile, UX, and Project, seamlessly blending their unique skills to enhance the functionality of our product. I am home to ingenious and creative minds passionately bringing new ideas to life. Come, explore what I have in store for you.
Your must-have skill set
Skilled in
AI/ML Models
Statistics
Python
Awareness of
Data Analysis
Algorithm Design
Knowledge of
SAS
ETL
Data Processing",₹5L - ₹7L (Glassdoor Est.)
